# QSO spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3698.8      0.0001085977
 3698.9      0.0001085442
 3699.0      0.0001084910
 3699.1      0.0001084387
 3699.2      0.0001083879
 3699.3      0.0001083388
 3699.4      0.0001082921
 3699.5      0.0001082479
 3699.6      0.0001082070
 3699.7      0.0001081698
 3699.8      0.0001081366
 3699.9      0.0001081080
 3700.0      0.0001080842
 3700.1      0.0001080850
 3700.2      0.0001080902
 3700.3      0.0001080996
 3700.4      0.0001081129
 3700.5      0.0001081296
 3700.6      0.0001081496
 3700.7      0.0001081723
 3700.8      0.0001081976
 3700.9      0.0001082250
 3701.0      0.0001082543
 3701.1      0.0001082852
 3701.2      0.0001083171
 3701.3      0.0001083499
 3701.4      0.0001083832
 3701.5      0.0001084167
 3701.6      0.0001084501
 3701.7      0.0001084828
 3701.8      0.0001085149
 3701.9      0.0001085457
 3702.0      0.0001085751
 3702.1      0.0001086026
 3702.2      0.0001086280
 3702.3      0.0001086509
 3702.4      0.0001086709
 3702.5      0.0001086878
 3702.6      0.0001086963
 3702.7      0.0001087030
 3702.8      0.0001087079
 3702.9      0.0001087110
 3703.0      0.0001087123
 3703.1      0.0001087117
 3703.2      0.0001087093
 3703.3      0.0001087051
 3703.4      0.0001086990
 3703.5      0.0001086911
 3703.6      0.0001086812
 3703.7      0.0001086696
 3703.8      0.0001086559
 3703.9      0.0001086404
 3704.0      0.0001086230
 3704.1      0.0001086036
 3704.2      0.0001085823
 3704.3      0.0001085591
 3704.4      0.0001085339
 3704.5      0.0001085067
 3704.6      0.0001084775
 3704.7      0.0001084464
 3704.8      0.0001084132
 3704.9      0.0001083781
 3705.0      0.0001083409
 3705.1      0.0001082972
 3705.2      0.0001082505
 3705.3      0.0001082008
 3705.4      0.0001081488
 3705.5      0.0001080944
 3705.6      0.0001080379
 3705.7      0.0001079799
